 slim_762065627 slim_762065594 slim_762065614 slim_762065645 slim_762065628 slim_762065587 slim_762065652 slim_762065603 slim_762065611 slim_762065638 slim_762065657 slim_762065655 slim_762065646 slim_762065647 slim_762065615 slim_762065634 slim_762065661 slim_762065619 slim_762065601 slim_762065598 slim_762065605 slim_762065591 slim_762065592 slim_762065609 slim_762065632 slim_762065620 slim_762065654 slim_762065630 slim_762065597 slim_762065640 slim_762065641 slim_762065663 slim_762065659 slim_762065635 slim_762065608 slim_762065606 slim_762065590 slim_762065649 slim_762065618 slim_762065626 slim_762065623 slim_762065612 slim_762065624 slim_762065600 slim_762065629 slim_762065599 slim_762065658 slim_762065642 slim_762065631 slim_762065607 slim_762065656 slim_762065633 slim_762065651 slim_762065585 slim_762065616 slim_762065648 slim_762065610 slim_762065653 slim_762065637 slim_762065636 slim_762065662 slim_762065602 slim_762065583 slim_762065625 slim_762065622 slim_762065604 slim_762065643 slim_762065593 slim_762065589 slim_762065586 slim_762065644 slim_762065596 slim_762065617 slim_762065639 slim_762065613 slim_762065582 slim_762065660 slim_762065621 slim_762065595 slim_762065650 slim_762065588 slim_762065584
68 1.85e-06 1.4e-06 1.3e-06 1.15e-06 1.9e-06 1.05e-06 1.8e-06 1.15e-06 1.35e-06 1.2e-06 1.75e-06 1.25e-06 1.05e-06 1.2e-06 1.65e-06 1.45e-06 1.9e-06 1.95e-06 1.5e-06 1e-06 1.65e-06 9e-07 1.4e-06 1.2e-06 1.45e-06 1.1e-06 1.3e-06 1.9e-06 1.3e-06 1.4e-06 1.25e-06 2.45e-06 2.1e-06 1.35e-06 1.95e-06 1.4e-06 1.15e-06 1.7e-06 1.35e-06 1e-06 1e-06 1.15e-06 1.65e-06 1.3e-06 1.45e-06 1.3e-06 1.5e-06 1.2e-06 1.8e-06 1.4e-06 1.4e-06 8.5e-07 1.95e-06 1.5e-06 2e-06 1.35e-06 1.85e-06 1e-06 1.3e-06 1.15e-06 1e-06 1.95e-06 1.25e-06 1.2e-06 9.5e-07 9.5e-07 1.2e-06 1.45e-06 1.5e-06 1.25e-06 1.55e-06 1.05e-06 1.4e-06 1.55e-06 1.4e-06 1.05e-06 2.45e-06 1.9e-06 1e-06 1.4e-06 1.25e-06 1.75e-06
69 1.65e-06 1.4e-06 1.15e-06 9.5e-07 1.7e-06 9.5e-07 2e-06 1.3e-06 1.75e-06 1.25e-06 1.55e-06 9.5e-07 1.35e-06 1.25e-06 1.25e-06 1.3e-06 1.6e-06 1.5e-06 1.35e-06 1.2e-06 1.55e-06 1.25e-06 1.65e-06 1.1e-06 1.1e-06 9e-07 1.25e-06 1.9e-06 1.15e-06 8e-07 1.85e-06 2.25e-06 1.95e-06 1.7e-06 1.45e-06 1.2e-06 1.4e-06 2e-06 1.2e-06 1.5e-06 1.05e-06 8.5e-07 1.55e-06 1.35e-06 1.2e-06 1.3e-06 1.35e-06 8.5e-07 1.95e-06 8e-07 1.4e-06 1.7e-06 2.2e-06 1.75e-06 1.55e-06 1.35e-06 1.75e-06 1.3e-06 1.35e-06 1.25e-06 1.15e-06 1.5e-06 1.2e-06 1.05e-06 1.1e-06 1.05e-06 1.7e-06 1.3e-06 1.25e-06 1.3e-06 1.35e-06 1.4e-06 9.5e-07 1.15e-06 1.4e-06 9.5e-07 2.25e-06 1.6e-06 9e-07 1.45e-06 1.2e-06 1.6e-06
70 1.8e-06 1.75e-06 1.6e-06 1.5e-06 1.7e-06 1.5e-06 1.75e-06 1.25e-06 2.05e-06 1.45e-06 1.7e-06 1.4e-06 1.7e-06 1.45e-06 1.65e-06 1.8e-06 1.9e-06 1.55e-06 1.85e-06 1.55e-06 1.7e-06 1.5e-06 1.75e-06 1.5e-06 1.35e-06 1.6e-06 1.75e-06 1.6e-06 1.55e-06 1.15e-06 1.55e-06 2e-06 2.05e-06 2e-06 1.6e-06 1.1e-06 1.45e-06 1.95e-06 1.5e-06 1.7e-06 1.55e-06 1.2e-06 1.9e-06 1.3e-06 1.15e-06 1.75e-06 1.85e-06 1.25e-06 1.5e-06 1.5e-06 1.85e-06 1.85e-06 2.15e-06 1.85e-06 1.6e-06 1.7e-06 1.75e-06 1.45e-06 1.2e-06 1.55e-06 1.35e-06 1.5e-06 1.45e-06 1.45e-06 1.3e-06 1.5e-06 1.45e-06 1.8e-06 1.55e-06 1.35e-06 2.2e-06 1.75e-06 1.35e-06 1.6e-06 1.75e-06 1.55e-06 2e-06 1.9e-06 1.45e-06 1.45e-06 1.7e-06 2.1e-06
71 1.85e-06 1.55e-06 1.3e-06 1.25e-06 2e-06 1.1e-06 2e-06 1.6e-06 1.25e-06 1.05e-06 1.7e-06 1.2e-06 9e-07 1.2e-06 1.6e-06 1.25e-06 2.15e-06 2.05e-06 1.35e-06 1e-06 2e-06 9e-07 1.45e-06 9.5e-07 1.35e-06 1.5e-06 1.5e-06 2.25e-06 1.1e-06 1.35e-06 1.4e-06 2.7e-06 2.2e-06 1.35e-06 2.05e-06 1.6e-06 1.2e-06 1.85e-06 1.2e-06 8.5e-07 1.2e-06 1.3e-06 1.6e-06 1.35e-06 1.65e-06 1.25e-06 1.3e-06 1.4e-06 2.1e-06 1.5e-06 1.35e-06 8.5e-07 2.15e-06 1.55e-06 2.1e-06 1.25e-06 1.9e-06 1.3e-06 1.35e-06 1.05e-06 1.25e-06 2.05e-06 1.15e-06 1.2e-06 1.2e-06 1.1e-06 1.45e-06 1.3e-06 1.05e-06 1.4e-06 1.75e-06 1.6e-06 1.25e-06 1.5e-06 1.3e-06 1.3e-06 2.7e-06 2.15e-06 1.05e-06 1.65e-06 1.45e-06 1.7e-06
72 1.6e-06 1.6e-06 1.15e-06 1.15e-06 1.85e-06 1e-06 2.15e-06 1.6e-06 1.8e-06 1.1e-06 1.6e-06 8.5e-07 1.2e-06 1.1e-06 1.25e-06 1.25e-06 2e-06 1.6e-06 1.2e-06 1.2e-06 1.9e-06 1.2e-06 1.7e-06 9e-07 9e-07 1.35e-06 1.5e-06 2.2e-06 1e-06 7e-07 1.95e-06 2.6e-06 2.2e-06 1.75e-06 1.65e-06 1.3e-06 1.35e-06 2.15e-06 9.5e-07 1.4e-06 1.15e-06 9.5e-07 1.6e-06 1.35e-06 1.35e-06 1.3e-06 1.3e-06 9e-07 2.1e-06 1.05e-06 1.4e-06 1.65e-06 2.3e-06 1.8e-06 1.65e-06 1.35e-06 1.85e-06 1.45e-06 1.3e-06 1.2e-06 1.3e-06 1.55e-06 1.1e-06 1.05e-06 1.25e-06 1.15e-06 1.8e-06 1.15e-06 1.4e-06 9.5e-07 1.35e-06 1.25e-06 1.2e-06 1.2e-06 1.4e-06 1.15e-06 2.6e-06 2e-06 9.5e-07 1.6e-06 1.45e-06 1.75e-06
73 1.8e-06 1.25e-06 1.35e-06 1.3e-06 1.7e-06 1.45e-06 2e-06 1.8e-06 1.35e-06 1.4e-06 1.75e-06 1.2e-06 1.45e-06 1.3e-06 1e-06 1.1e-06 1.75e-06 1.6e-06 1.1e-06 1.45e-06 1.95e-06 1.25e-06 1.3e-06 1.25e-06 1.2e-06 1.55e-06 1.25e-06 2.15e-06 1.1e-06 9.5e-07 1.95e-06 2.3e-06 1.55e-06 1.3e-06 1.6e-06 1.45e-06 1.45e-06 2e-06 1.4e-06 1.35e-06 1.55e-06 1.15e-06 1.2e-06 1.65e-06 1.5e-06 1.1e-06 1.15e-06 1.3e-06 2.2e-06 1.1e-06 1.2e-06 1.6e-06 2.45e-06 1.35e-06 1.65e-06 9e-07 1.75e-06 1.65e-06 1.35e-06 1.3e-06 1.5e-06 1.65e-06 1.2e-06 1.2e-06 1.45e-06 1.5e-06 1.8e-06 1.1e-06 1.55e-06 1.15e-06 1.6e-06 1.5e-06 1.2e-06 1.7e-06 9.5e-07 1.5e-06 2.35e-06 1.75e-06 1.4e-06 1.8e-06 1.15e-06 8.5e-07
74 1.7e-06 1e-06 1.35e-06 1.15e-06 1.65e-06 1.4e-06 1.85e-06 1.7e-06 1e-06 1.25e-06 1.65e-06 1.45e-06 1.25e-06 1.4e-06 1.05e-06 8.5e-07 1.7e-06 1.8e-06 9e-07 1.25e-06 1.9e-06 1.05e-06 1e-06 1.05e-06 1.3e-06 1.55e-06 1.05e-06 2.05e-06 9.5e-07 1.35e-06 1.7e-06 2.2e-06 1.35e-06 9.5e-07 1.8e-06 1.6e-06 1.3e-06 1.8e-06 1.3e-06 9.5e-07 1.55e-06 1.35e-06 1e-06 1.5e-06 1.65e-06 9e-07 9e-07 1.55e-06 2e-06 1.35e-06 1e-06 1.3e-06 2.3e-06 1.1e-06 1.85e-06 4.5e-07 1.55e-06 1.55e-06 1.3e-06 1.4e-06 1.4e-06 1.85e-06 1.05e-06 1.2e-06 1.35e-06 1.5e-06 1.55e-06 8.5e-07 1.4e-06 1.4e-06 1.75e-06 1.3e-06 1.4e-06 9.5e-07 9e-07 1.5e-06 2.25e-06 1.7e-06 1.35e-06 1.7e-06 1e-06 6e-07
75 1.7e-06 1.45e-06 1e-06 9e-07 1.9e-06 7.5e-07 2.05e-06 1.1e-06 1.8e-06 1.15e-06 1.6e-06 1.05e-06 1.25e-06 1.45e-06 1.6e-06 1.35e-06 1.7e-06 1.85e-06 1.4e-06 1.1e-06 1.5e-06 1.15e-06 1.7e-06 1e-06 1.3e-06 7e-07 1.2e-06 1.95e-06 1.2e-06 1.25e-06 1.75e-06 2.45e-06 2.15e-06 1.75e-06 1.85e-06 1.4e-06 1.3e-06 2.05e-06 1.1e-06 1.45e-06 7.5e-07 1.05e-06 1.75e-06 1.25e-06 1.45e-06 1.3e-06 1.4e-06 9e-07 1.9e-06 1.1e-06 1.35e-06 1.6e-06 2.1e-06 1.8e-06 1.9e-06 1.45e-06 1.8e-06 1.1e-06 1.45e-06 1.45e-06 9.5e-07 1.85e-06 1.25e-06 1.05e-06 9e-07 8.5e-07 1.6e-06 1.35e-06 1.05e-06 9.5e-07 1.55e-06 1.3e-06 1.15e-06 1.5e-06 1.5e-06 9e-07 2.45e-06 1.7e-06 7e-07 1.1e-06 1.15e-06 1.8e-06
76 1.55e-06 2.1e-06 2.6e-06 2.15e-06 1.55e-06 2.4e-06 1.35e-06 1.75e-06 2.6e-06 2.25e-06 1.25e-06 2.6e-06 2.65e-06 2.75e-06 2.45e-06 2.3e-06 1.15e-06 1.6e-06 2.35e-06 2.45e-06 1.45e-06 2.4e-06 2.1e-06 2.4e-06 2.6e-06 2.15e-06 2.25e-06 8e-07 2.55e-06 2.6e-06 2.15e-06 6e-07 1.4e-06 2.55e-06 1.6e-06 1.85e-06 2.15e-06 1.75e-06 2e-06 2.65e-06 2.5e-06 2.2e-06 2.5e-06 1.8e-06 1.9e-06 2.3e-06 2.35e-06 2.5e-06 1.25e-06 2.15e-06 2.4e-06 2.85e-06 2.65e-06 2.2e-06 1.65e-06 2.2e-06 1.5e-06 2.2e-06 1.95e-06 2.75e-06 2.15e-06 1.4e-06 2.45e-06 2.45e-06 2.1e-06 2.45e-06 2e-06 2.3e-06 2.45e-06 2.25e-06 2e-06 2.7e-06 2.6e-06 2.35e-06 2.25e-06 2.45e-06 2e-07 1.15e-06 2.35e-06 1.95e-06 2.2e-06 2.15e-06
77 1.3e-06 1.6e-06 2e-06 1.55e-06 1.4e-06 1.7e-06 1.4e-06 1.55e-06 2.05e-06 1.85e-06 1.4e-06 2e-06 2.1e-06 2.25e-06 1.85e-06 1.65e-06 7.5e-07 1.4e-06 1.7e-06 1.9e-06 1.25e-06 1.95e-06 1.75e-06 1.85e-06 2.1e-06 1.4e-06 1.55e-06 1.35e-06 2e-06 2.05e-06 2.1e-06 8.5e-07 1.15e-06 2e-06 1.4e-06 1.75e-06 1.9e-06 1.7e-06 1.75e-06 2.2e-06 1.8e-06 1.75e-06 1.95e-06 1.65e-06 1.8e-06 1.65e-06 1.7e-06 1.85e-06 1.5e-06 1.4e-06 1.75e-06 2.4e-06 2.5e-06 1.85e-06 1.45e-06 1.65e-06 1.35e-06 1.8e-06 1.85e-06 2.25e-06 1.7e-06 1.6e-06 2e-06 1.9e-06 1.65e-06 1.8e-06 1.95e-06 1.65e-06 1.9e-06 1.6e-06 1.9e-06 2.15e-06 2e-06 1.75e-06 1.7e-06 1.7e-06 1.15e-06 1.5e-06 1.65e-06 1.75e-06 1.5e-06 1.5e-06
78 1.5e-06 1.35e-06 1.1e-06 8.5e-07 1.8e-06 5e-07 1.95e-06 1.05e-06 1.7e-06 8.5e-07 1.35e-06 9.5e-07 9.5e-07 1.35e-06 1.5e-06 1.1e-06 1.65e-06 1.75e-06 1.2e-06 8.5e-07 1.45e-06 1.1e-06 1.6e-06 7.5e-07 1.2e-06 7.5e-07 1.15e-06 1.85e-06 9.5e-07 1.15e-06 1.65e-06 2.35e-06 2.05e-06 1.65e-06 1.75e-06 1.3e-06 1.25e-06 1.95e-06 9.5e-07 1.3e-06 7e-07 9.5e-07 1.65e-06 1e-06 1.35e-06 1.15e-06 1.15e-06 9e-07 1.75e-06 1.05e-06 1.25e-06 1.5e-06 2e-06 1.7e-06 1.8e-06 1.3e-06 1.7e-06 1.05e-06 1.35e-06 1.35e-06 9e-07 1.75e-06 1.15e-06 1.05e-06 8.5e-07 7.5e-07 1.5e-06 1.15e-06 1e-06 9e-07 1.45e-06 1.05e-06 9.5e-07 1.4e-06 1.35e-06 7e-07 2.35e-06 1.65e-06 9e-07 1.25e-06 1.1e-06 1.7e-06
79 1.7e-06 1.7e-06 1.4e-06 1.3e-06 1.75e-06 1.3e-06 1.7e-06 1.1e-06 2e-06 1.35e-06 1.6e-06 1.5e-06 1.6e-06 1.75e-06 1.9e-06 1.7e-06 1.75e-06 1.8e-06 1.75e-06 1.45e-06 1.55e-06 1.4e-06 1.7e-06 1.35e-06 1.6e-06 1.35e-06 1.6e-06 1.55e-06 1.55e-06 1.6e-06 1.55e-06 1.95e-06 2e-06 1.95e-06 1.8e-06 1.3e-06 1.35e-06 1.9e-06 1.35e-06 1.65e-06 1.3e-06 1.4e-06 1.95e-06 1.2e-06 1.35e-06 1.65e-06 1.75e-06 1.45e-06 1.45e-06 1.6e-06 1.7e-06 1.8e-06 2.05e-06 1.8e-06 1.85e-06 1.65e-06 1.65e-06 1.3e-06 1.3e-06 1.75e-06 1.2e-06 1.8e-06 1.45e-06 1.4e-06 1.15e-06 1.35e-06 1.4e-06 1.7e-06 1.4e-06 1.45e-06 1.45e-06 1.65e-06 1.6e-06 1.8e-06 1.7e-06 1.1e-06 1.95e-06 1.75e-06 1.25e-06 2.1e-06 1.55e-06 2.05e-06
80 1.7e-06 1.1e-06 1.4e-06 1.1e-06 1.75e-06 1.15e-06 1.9e-06 1.35e-06 1.35e-06 1.35e-06 1.65e-06 1.4e-06 1.4e-06 1.55e-06 1.3e-06 1.1e-06 1.5e-06 1.8e-06 1.1e-06 1.25e-06 1.6e-06 1.25e-06 1.3e-06 1.25e-06 1.5e-06 1.05e-06 1e-06 1.9e-06 1.2e-06 1.45e-06 1.75e-06 2.15e-06 1.5e-06 1.3e-06 1.8e-06 1.55e-06 1.45e-06 1.9e-06 1.4e-06 1.35e-06 1.2e-06 1.25e-06 1.35e-06 1.45e-06 1.6e-06 1.05e-06 1.15e-06 1.3e-06 1.95e-06 1.2e-06 1.15e-06 1.55e-06 2.25e-06 1.35e-06 1.85e-06 9.5e-07 1.7e-06 1.35e-06 1.5e-06 1.55e-06 1.2e-06 1.85e-06 1.35e-06 1.3e-06 1.15e-06 1.2e-06 1.6e-06 1.1e-06 1.25e-06 1.2e-06 1.7e-06 1.45e-06 1.45e-06 1.15e-06 1e-06 1.15e-06 2.2e-06 1.5e-06 1.1e-06 1.55e-06 1.8e-06 9e-07
81 1.8e-06 1e-06 1.7e-06 1.45e-06 1.75e-06 1.75e-06 1.95e-06 2.05e-06 1.05e-06 1.65e-06 1.8e-06 1.75e-06 1.65e-06 1.75e-06 1.05e-06 9e-07 1.5e-06 1.85e-06 8.5e-07 1.65e-06 2e-06 1.4e-06 1.05e-06 1.5e-06 1.7e-06 1.7e-06 1.05e-06 2.15e-06 1.25e-06 1.7e-06 2.1e-06 2.05e-06 1e-06 1e-06 1.85e-06 1.95e-06 1.65e-06 1.95e-06 1.65e-06 1.4e-06 1.85e-06 1.65e-06 1.05e-06 1.9e-06 2e-06 9e-07 9.5e-07 1.85e-06 2.35e-06 1.4e-06 1e-06 1.7e-06 2.65e-06 1.05e-06 1.9e-06 5.5e-07 1.7e-06 1.9e-06 1.7e-06 1.75e-06 1.75e-06 1.95e-06 1.5e-06 1.55e-06 1.7e-06 1.8e-06 1.95e-06 9e-07 1.75e-06 1.6e-06 2.1e-06 1.7e-06 1.75e-06 8.5e-07 6e-07 1.8e-06 2.15e-06 1.5e-06 1.7e-06 2.05e-06 9e-07 1e-07
